district,neighborhood,registered,voted,valid,akp,chp,mhp,hdp,sp,gulenist
ADALAR,BURGAZADA MAH.,309,255,252,25,166,18,33,1,0
ADALAR,BURGAZADA MAH.,312,272,269,34,143,19,66,1,0
ADALAR,BURGAZADA MAH.,310,268,259,35,143,17,58,1,0
ADALAR,BURGAZADA MAH.,310,273,266,38,129,19,69,3,0
ADALAR,MADEN MAH.,277,239,228,48,99,30,41,1,3
ADALAR,MADEN MAH.,275,235,221,68,79,30,34,4,2
ADALAR,MADEN MAH.,274,238,231,68,75,27,54,4,1
ADALAR,MADEN MAH.,363,303,284,61,156,18,45,0,1
ADALAR,MADEN MAH.,358,298,291,51,152,22,56,2,0
ADALAR,MADEN MAH.,357,319,308,88,122,29,65,0,1
ADALAR,MADEN MAH.,311,264,255,38,138,24,50,1,1
ADALAR,MADEN MAH.,313,277,263,73,109,37,31,4,1
ADALAR,MADEN MAH.,310,250,243,51,113,22,52,1,1
ADALAR,MADEN MAH.,310,283,270,81,112,23,50,2,0
ADALAR,MADEN MAH.,311,279,263,64,122,26,48,0,2
ADALAR,NIZAM MAH.,349,285,270,68,146,22,25,2,0
ADALAR,NIZAM MAH.,350,312,300,70,126,38,57,1,0
ADALAR,NIZAM MAH.,350,294,288,77,115,20,67,1,0
ADALAR,NIZAM MAH.,350,295,286,66,115,25,71,2,2
ADALAR,NIZAM MAH.,350,296,288,53,131,27,63,1,5
ADALAR,NIZAM MAH.,350,296,287,88,100,25,65,4,2
ADALAR,NIZAM MAH.,349,293,283,78,99,26,67,4,0
ADALAR,HEYBELIADA MAH.,310,265,248,55,129,17,38,0,2
ADALAR,HEYBELIADA MAH.,310,275,261,77,109,36,26,1,3
ADALAR,HEYBELIADA MAH.,308,273,251,70,123,21,18,5,5
ADALAR,HEYBELIADA MAH.,310,263,249,54,91,37,52,3,8
ADALAR,HEYBELIADA MAH.,336,265,255,53,148,13,23,1,1
ADALAR,HEYBELIADA MAH.,335,291,276,77,128,21,32,0,7
ADALAR,HEYBELIADA MAH.,335,288,276,65,114,51,32,0,3
ADALAR,HEYBELIADA MAH.,337,269,261,64,116,38,32,4,1
ADALAR,HEYBELIADA MAH.,335,293,270,75,115,36,32,2,2
ADALAR,KINALIADA MAH.,341,262,245,45,76,8,102,1,0
ADALAR,KINALIADA MAH.,341,275,264,78,70,7,101,1,0
ADALAR,KINALIADA MAH.,341,284,272,58,97,13,95,1,0
ADALAR,KINALIADA MAH.,341,284,275,70,70,14,104,2,2
ADALAR,KINALIADA MAH.,328,258,252,52,69,13,111,1,0
ADALAR,KINALIADA MAH.,331,290,277,65,77,9,120,1,0
ARNAVUTKOY,ADNAN MENDERES MAH.,341,294,282,110,52,19,90,5,1
ARNAVUTKOY,ADNAN MENDERES MAH.,342,308,270,116,16,41,71,8,6
ARNAVUTKOY,ADNAN MENDERES MAH.,342,296,275,108,44,29,75,6,1
ARNAVUTKOY,ADNAN MENDERES MAH.,341,286,257,116,24,26,68,10,2
ARNAVUTKOY,ADNAN MENDERES MAH.,342,304,285,150,22,27,62,6,6
ARNAVUTKOY,ADNAN MENDERES MAH.,342,304,276,161,48,26,23,8,6
ARNAVUTKOY,ADNAN MENDERES MAH.,340,303,276,135,30,23,71,8,0
ARNAVUTKOY,ANADOLU MAH.,364,307,269,137,35,26,53,11,1
ARNAVUTKOY,ANADOLU MAH.,364,316,272,163,26,23,39,10,4
ARNAVUTKOY,ANADOLU MAH.,366,299,282,154,30,24,48,15,5
