district,neighborhood,registered,voted,valid,akp,chp,mhp,iyip,hdp,sp,cumhur,millet
ADALAR,BURGAZADA MAH.,318,270,263,33,153,5,16,49,0,4,2
ADALAR,BURGAZADA MAH.,318,267,263,38,108,9,14,88,1,2,2
ADALAR,BURGAZADA MAH.,317,284,281,41,125,8,8,92,1,1,3
ADALAR,BURGAZADA MAH.,317,283,278,39,132,10,8,79,3,0,1
ADALAR,HEYBELIADA MAH.,318,275,264,61,143,8,18,29,3,1,0
ADALAR,HEYBELIADA MAH.,318,280,278,69,131,14,17,37,4,1,1
ADALAR,HEYBELIADA MAH.,319,289,285,66,129,8,34,41,2,2,0
ADALAR,HEYBELIADA MAH.,318,289,283,73,98,10,45,56,1,0,0
ADALAR,HEYBELIADA MAH.,336,301,294,56,162,15,12,41,4,2,0
ADALAR,HEYBELIADA MAH.,336,290,285,79,101,22,35,44,1,1,1
ADALAR,HEYBELIADA MAH.,337,291,287,69,111,24,30,53,0,0,0
ADALAR,HEYBELIADA MAH.,336,305,298,72,114,19,33,54,2,1,1
ADALAR,HEYBELIADA MAH.,337,307,306,76,112,21,22,68,2,2,0
ADALAR,KINALIADA MAH.,374,302,296,84,94,7,9,95,1,3,1
ADALAR,KINALIADA MAH.,374,340,334,81,123,4,12,109,1,1,1
ADALAR,KINALIADA MAH.,375,336,330,73,99,15,19,118,2,1,0
ADALAR,KINALIADA MAH.,238,220,216,26,75,7,12,96,0,0,0
ADALAR,KINALIADA MAH.,240,228,226,62,72,12,2,74,2,2,0
ADALAR,MADEN MAH.,378,339,333,69,155,15,18,73,1,1,1
ADALAR,MADEN MAH.,377,333,327,83,126,17,28,67,0,5,0
ADALAR,MADEN MAH.,377,342,338,53,161,13,37,70,1,1,1
ADALAR,MADEN MAH.,326,292,285,67,108,16,25,58,4,3,4
ADALAR,MADEN MAH.,325,289,285,87,89,10,26,67,3,1,1
ADALAR,MADEN MAH.,326,279,277,97,84,16,28,45,5,0,1
ADALAR,MADEN MAH.,309,280,273,54,141,10,17,43,3,3,1
