nbhd_id,district,neighborhood,registered,voted,valid,akp,chp,mhp,hdp,sp,gulenist,turnout,valid_p,akp_p,chp_p,mhp_p,hdp_p,sp_p,gulenist_p,hdp_r,akp_r
101,ADALAR,BURGAZADA MAH.,1241,1068,1046,132,581,73,226,6,0,86.06,97.94,12.62,55.54,6.98,21.61,0.57,0.00,18.21,10.64
102,ADALAR,HEYBELIADA MAH.,2916,2482,2347,590,1073,270,285,16,32,85.12,94.56,25.14,45.72,11.50,12.14,0.68,1.36,9.77,20.23
103,ADALAR,KINALIADA MAH.,2023,1653,1585,368,459,64,633,7,2,81.71,95.89,23.22,28.96,4.04,39.94,0.44,0.13,31.29,18.19
104,ADALAR,MADEN MAH.,3459,2985,2857,691,1277,288,526,19,13,86.30,95.71,24.19,44.70,10.08,18.41,0.67,0.46,15.21,19.98
105,ADALAR,NIZAM MAH.,2448,2071,2002,500,832,183,415,15,9,84.60,96.67,24.98,41.56,9.14,20.73,0.75,0.45,16.95,20.42
201,ARNAVUTKOY,ADNAN MENDERES MAH.,2390,2095,1921,896,236,191,460,51,22,87.66,91.69,46.64,12.29,9.94,23.95,2.65,1.15,19.25,37.49
202,ARNAVUTKOY,ANADOLU MAH.,15453,13435,12154,6626,972,1185,2625,355,93,86.94,90.47,54.52,8.00,9.75,21.60,2.92,0.77,16.99,42.88
203,ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,10421,8911,8106,4505,960,1179,883,233,168,85.51,90.97,55.58,11.84,14.54,10.89,2.87,2.07,8.47,43.23
204,ARNAVUTKOY,BAKLALI MAH.,632,560,529,249,130,93,29,12,1,88.61,94.46,47.07,24.57,17.58,5.48,2.27,0.19,4.59,39.40
205,ARNAVUTKOY,BALABAN MAH.,350,312,295,79,164,32,3,5,0,89.14,94.55,26.78,55.59,10.85,1.02,1.69,0.00,0.86,22.57
206,ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,5499,4824,4407,2181,473,487,991,116,30,87.73,91.36,49.49,10.73,11.05,22.49,2.63,0.68,18.02,39.66
207,ARNAVUTKOY,BOLLUCA MAH.,3965,3532,3258,1761,256,308,768,68,17,89.08,92.24,54.05,7.86,9.45,23.57,2.09,0.52,19.37,44.41
208,ARNAVUTKOY,BOYALIK MAH.,503,459,439,177,165,68,13,5,1,91.25,95.64,40.32,37.59,15.49,2.96,1.14,0.23,2.58,35.19
209,ARNAVUTKOY,CILINGIR MAH.,786,691,635,306,74,187,30,13,8,87.91,91.90,48.19,11.65,29.45,4.72,2.05,1.26,3.82,38.93
210,ARNAVUTKOY,DELIKLIKAYA MAH.,2107,1854,1703,467,172,110,877,19,10,87.99,91.86,27.42,10.10,6.46,51.50,1.12,0.59,41.62,22.16
211,ARNAVUTKOY,DURSUNKOY MAH.,363,330,323,101,108,90,8,0,10,90.91,97.88,31.27,33.44,27.86,2.48,0.00,3.10,2.20,27.82
212,ARNAVUTKOY,DURUSU MAH.,573,539,519,169,281,37,17,4,1,94.07,96.29,32.56,54.14,7.13,3.28,0.77,0.19,2.97,29.49
213,ARNAVUTKOY,FATIH MAH.,1235,1100,996,574,69,111,175,38,4,89.07,90.55,57.63,6.93,11.14,17.57,3.82,0.40,14.17,46.48
214,ARNAVUTKOY,HACIMASLI MAH.,402,363,332,154,102,55,5,6,2,90.30,91.46,46.39,30.72,16.57,1.51,1.81,0.60,1.24,38.31
215,ARNAVUTKOY,HADIMKOY MAH.,12656,10942,9927,5207,1874,1511,592,266,215,86.46,90.72,52.45,18.88,15.22,5.96,2.68,2.17,4.68,41.14
216,ARNAVUTKOY,HARACCI MAH.,4863,4269,3855,1626,558,597,875,86,16,87.79,90.30,42.18,14.47,15.49,22.70,2.23,0.42,17.99,33.44
217,ARNAVUTKOY,HASTANE MAH.,4698,4110,3701,1300,1276,682,194,74,67,87.48,90.05,35.13,34.48,18.43,5.24,2.00,1.81,4.13,27.67
218,ARNAVUTKOY,HICRET MAH.,1688,1509,1367,751,55,75,410,34,5,89.40,90.59,54.94,4.02,5.49,29.99,2.49,0.37,24.29,44.49
219,ARNAVUTKOY,IMRAHOR MAH.,5658,4994,4539,2206,309,529,1228,105,25,88.26,90.89,48.60,6.81,11.65,27.05,2.31,0.55,21.70,38.99
220,ARNAVUTKOY,ISLAMBEY MAH.,10028,8765,7908,4472,801,954,1242,215,46,87.41,90.22,56.55,10.13,12.06,15.71,2.72,0.58,12.39,44.60
221,ARNAVUTKOY,KARABURUN MAH.,1016,896,840,423,236,82,56,18,6,88.19,93.75,50.36,28.10,9.76,6.67,2.14,0.71,5.51,41.63
222,ARNAVUTKOY,KARLIBAYIR MAH.,5042,4319,3887,2156,412,635,406,133,48,85.66,90.00,55.47,10.60,16.34,10.45,3.42,1.23,8.05,42.76
223,ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,2616,2345,2112,1300,162,211,269,86,27,89.64,90.06,61.55,7.67,9.99,12.74,4.07,1.28,10.28,49.69
224,ARNAVUTKOY,MAVIGOL MAH.,3491,3162,2898,1389,210,198,951,67,14,90.58,91.65,47.93,7.25,6.83,32.82,2.31,0.48,27.24,39.79
225,ARNAVUTKOY,MEHMET AKIF ERSOY MAH.,3829,3350,3078,1898,216,368,383,83,52,87.49,91.88,61.66,7.02,11.96,12.44,2.70,1.69,10.00,49.57
226,ARNAVUTKOY,MERKEZ ATATURK MAH.,4188,3698,3384,1496,222,304,1179,68,24,88.30,91.51,44.21,6.56,8.98,34.84,2.01,0.71,28.15,35.72
