nbhd_id,district,neighborhood,registered,voted,valid,akp,chp,mhp,hdp,sp,jun_akp_r,jun_hdp_r,akp_r,hdp_r,akp_dif,hdp_dif,turnout,valid_p,akp_p,chp_p,mhp_p,hdp_p,sp_p,hdp_dif_per_vote,akp_dif_per_vote
101,ADALAR,BURGAZADA MAH.,1236,1042,1030,158,603,39,203,2,10.64,18.21,12.78,16.42,2.14,-1.79,84.30,98.85,15.34,58.54,3.79,19.71,0.19,-0.10,0.20
102,ADALAR,HEYBELIADA MAH.,2912,2471,2442,737,1175,222,251,4,20.23,9.77,25.31,8.62,5.08,-1.15,84.86,98.83,30.18,48.12,9.09,10.28,0.16,-0.12,0.25
103,ADALAR,KINALIADA MAH.,1939,1534,1516,409,556,45,489,1,18.19,31.29,21.09,25.22,2.90,-6.07,79.11,98.83,26.98,36.68,2.97,32.26,0.07,-0.19,0.16
104,ADALAR,MADEN MAH.,3475,2977,2961,838,1421,213,439,7,19.98,15.21,24.12,12.63,4.14,-2.58,85.67,99.46,28.30,47.99,7.19,14.83,0.24,-0.17,0.21
105,ADALAR,NIZAM MAH.,2443,2011,1999,559,907,142,340,4,20.42,16.95,22.88,13.92,2.46,-3.03,82.32,99.40,27.96,45.37,7.10,17.01,0.20,-0.18,0.12
201,ARNAVUTKOY,ADNAN MENDERES MAH.,2427,2104,2061,1244,225,184,347,31,37.49,19.25,51.26,14.30,13.77,-4.95,86.69,97.96,60.36,10.92,8.93,16.84,1.50,-0.26,0.37
202,ARNAVUTKOY,ANADOLU MAH.,16256,14292,13987,9553,1055,879,2139,157,42.88,16.99,58.77,13.16,15.89,-3.83,87.92,97.87,68.30,7.54,6.28,15.29,1.12,-0.23,0.37
203,ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,10803,9429,9281,6321,1096,949,710,108,43.23,8.47,58.51,6.57,15.28,-1.90,87.28,98.43,68.11,11.81,10.23,7.65,1.16,-0.22,0.35
204,ARNAVUTKOY,BAKLALI MAH.,640,579,570,335,132,64,13,11,39.40,4.59,52.34,2.03,12.94,-2.56,90.47,98.45,58.77,23.16,11.23,2.28,1.93,-0.56,0.33
205,ARNAVUTKOY,BALABAN MAH.,355,319,316,89,184,27,2,1,22.57,0.86,25.07,0.56,2.50,-0.30,89.86,99.06,28.16,58.23,8.54,0.63,0.32,-0.35,0.11
206,ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,5573,4975,4854,3085,482,354,813,49,39.66,18.02,55.36,14.59,15.70,-3.43,89.27,97.57,63.56,9.93,7.29,16.75,1.01,-0.19,0.40
207,ARNAVUTKOY,BOLLUCA MAH.,3978,3614,3543,2368,288,222,574,35,44.41,19.37,59.53,14.43,15.12,-4.94,90.85,98.04,66.84,8.13,6.27,16.20,0.99,-0.26,0.34
208,ARNAVUTKOY,BOYALIK MAH.,521,474,470,232,168,42,9,10,35.19,2.58,44.53,1.73,9.34,-0.85,90.98,99.16,49.36,35.74,8.94,1.91,2.13,-0.33,0.27
209,ARNAVUTKOY,CILINGIR MAH.,802,728,708,455,86,114,36,6,38.93,3.82,56.73,4.49,17.80,0.67,90.77,97.25,64.27,12.15,16.10,5.08,0.85,0.18,0.46
210,ARNAVUTKOY,DELIKLIKAYA MAH.,2118,1837,1808,645,212,75,838,15,22.16,41.62,30.45,39.57,8.29,-2.05,86.73,98.42,35.67,11.73,4.15,46.35,0.83,-0.05,0.37
211,ARNAVUTKOY,DURSUNKOY MAH.,363,330,319,165,85,53,6,3,27.82,2.20,45.45,1.65,17.63,-0.55,90.91,96.67,51.72,26.65,16.61,1.88,0.94,-0.25,0.63
212,ARNAVUTKOY,DURUSU MAH.,574,532,520,243,219,31,13,1,29.49,2.97,42.33,2.26,12.84,-0.71,92.68,97.74,46.73,42.12,5.96,2.50,0.19,-0.24,0.44
213,ARNAVUTKOY,FATIH MAH.,1292,1161,1133,760,96,93,153,12,46.48,14.17,58.82,11.84,12.34,-2.33,89.86,97.59,67.08,8.47,8.21,13.50,1.06,-0.16,0.27
214,ARNAVUTKOY,HACIMASLI MAH.,416,389,383,220,112,36,1,3,38.31,1.24,52.88,0.24,14.57,-1.00,93.51,98.46,57.44,29.24,9.40,0.26,0.78,-0.81,0.38
215,ARNAVUTKOY,HADIMKOY MAH.,13027,11478,11310,7035,2189,1352,507,100,41.14,4.68,54.00,3.89,12.86,-0.79,88.11,98.54,62.20,19.35,11.95,4.48,0.88,-0.17,0.31
216,ARNAVUTKOY,HARACCI MAH.,4919,4394,4314,2416,633,407,750,37,33.44,17.99,49.12,15.25,15.68,-2.74,89.33,98.18,56.00,14.67,9.43,17.39,0.86,-0.15,0.47
217,ARNAVUTKOY,HASTANE MAH.,4805,4242,4188,1868,1470,587,180,28,27.67,4.13,38.88,3.75,11.21,-0.38,88.28,98.73,44.60,35.10,14.02,4.30,0.67,-0.09,0.41
218,ARNAVUTKOY,HICRET MAH.,1715,1564,1518,1060,49,45,314,25,44.49,24.29,61.81,18.31,17.32,-5.98,91.20,97.06,69.83,3.23,2.96,20.69,1.65,-0.25,0.39
219,ARNAVUTKOY,IMRAHOR MAH.,5812,5232,5112,3164,330,348,1141,42,38.99,21.70,54.44,19.63,15.45,-2.07,90.02,97.71,61.89,6.46,6.81,22.32,0.82,-0.10,0.40
220,ARNAVUTKOY,ISLAMBEY MAH.,10243,9088,8889,6185,856,637,976,81,44.60,12.39,60.38,9.53,15.78,-2.86,88.72,97.81,69.58,9.63,7.17,10.98,0.91,-0.23,0.35
221,ARNAVUTKOY,KARABURUN MAH.,1083,954,935,565,256,63,38,2,41.63,5.51,52.17,3.51,10.54,-2.00,88.09,98.01,60.43,27.38,6.74,4.06,0.21,-0.36,0.25
222,ARNAVUTKOY,KARLIBAYIR MAH.,5147,4558,4488,3177,425,421,331,61,42.76,8.05,61.73,6.43,18.97,-1.62,88.56,98.46,70.79,9.47,9.38,7.38,1.36,-0.20,0.44
223,ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,2755,2500,2458,1815,190,173,219,33,49.69,10.28,65.88,7.95,16.19,-2.33,90.74,98.32,73.84,7.73,7.04,8.91,1.34,-0.23,0.33
224,ARNAVUTKOY,MAVIGOL MAH.,3573,3263,3196,1956,261,106,807,20,39.79,27.24,54.74,22.59,14.95,-4.65,91.32,97.95,61.20,8.17,3.32,25.25,0.63,-0.17,0.38
225,ARNAVUTKOY,MEHMET AKIF ERSOY MAH.,3927,3509,3452,2523,253,280,318,32,49.57,10.00,64.25,8.10,14.68,-1.90,89.36,98.38,73.09,7.33,8.11,9.21,0.93,-0.19,0.30
226,ARNAVUTKOY,MERKEZ ATATURK MAH.,4241,3852,3781,2218,233,213,1024,39,35.72,28.15,52.30,24.15,16.58,-4.00,90.83,98.16,58.66,6.16,5.63,27.08,1.03,-0.14,0.46
227,ARNAVUTKOY,MUSTAFA KEMAL PASA MAH.,7313,6412,6301,4417,658,455,613,87,45.48,11.05,60.40,8.38,14.92,-2.67,87.68,98.27,70.10,10.44,7.22,9.73,1.38,-0.24,0.33
228,ARNAVUTKOY,NENEHATUN MAH.,5050,4528,4435,3098,189,258,775,39,44.12,19.36,61.35,15.35,17.23,-4.01,89.66,97.95,69.85,4.26,5.82,17.47,0.88,-0.21,0.39
229,ARNAVUTKOY,OMERLI MAH.,3928,3420,3377,1923,745,455,169,30,39.01,5.26,48.96,4.30,9.95,-0.96,87.07,98.74,56.94,22.06,13.47,5.00,0.89,-0.18,0.26
230,ARNAVUTKOY,SAZLIBOSNA MAH.,955,883,875,493,221,136,4,5,29.42,0.74,51.62,0.42,22.20,-0.32,92.46,99.09,56.34,25.26,15.54,0.46,0.57,-0.43,0.75
231,ARNAVUTKOY,TASOLUK MAH.,3561,3222,3163,2219,278,276,300,35,44.14,11.61,62.31,8.42,18.17,-3.19,90.48,98.17,70.15,8.79,8.73,9.48,1.11,-0.27,0.41
