nbhd_id,district,neighborhood,registered,voted,valid,akp,chp,sp,turnout,valid_p,akp_p,chp_p,sp_p,chp_sp,chp_sp_p,chp_sp_r,chp_sp30,chp_sp30_p,chp_sp30_r,chp_sp40,chp_sp40_p,chp_sp40_r,akp_sp50,akp_sp50_p,akp_sp50_r,akp_sp55,akp_sp55_p,akp_sp55_r,cum_mil_nosp,cum_mil_low,cum_mil_hi
101,ADALAR,BURGAZADA MAH.,1266,981,950,195,721,2,77.49,96.84,20.53,75.89,0.21,723,76.11,57.11,721,75.89,56.95,721,75.89,56.95,196,20.63,15.48,196,20.63,15.48,0.27,0.27,0.27
102,ADALAR,HEYBELIADA MAH.,3067,2528,2443,928,1444,9,82.43,96.64,37.99,59.11,0.37,1453,59.48,47.38,1446,59.19,47.15,1447,59.23,47.18,932,38.15,30.39,932,38.15,30.39,0.64,0.64,0.64
103,ADALAR,KINALIADA MAH.,1623,1290,1237,406,762,5,79.48,95.89,32.82,61.60,0.40,767,62.00,47.26,763,61.68,47.01,764,61.76,47.07,408,32.98,25.14,408,32.98,25.14,0.53,0.53,0.53
104,ADALAR,MADEN MAH.,3628,2991,2880,1032,1708,12,82.44,96.29,35.83,59.31,0.42,1720,59.72,47.41,1711,59.41,47.16,1712,59.44,47.19,1038,36.04,28.61,1038,36.04,28.61,0.60,0.61,0.61
105,ADALAR,NIZAM MAH.,3024,2534,2445,901,1425,6,83.80,96.49,36.85,58.28,0.25,1431,58.53,47.32,1426,58.32,47.16,1427,58.36,47.19,904,36.97,29.89,904,36.97,29.89,0.63,0.63,0.63
201,ARNAVUTKOY,ADNAN MENDERES MAH.,2650,2351,2218,1354,770,47,88.72,94.34,61.05,34.72,2.12,817,36.83,30.83,784,35.35,29.58,788,35.53,29.74,1377,62.08,51.96,1379,62.17,52.04,1.76,1.76,1.75
202,ARNAVUTKOY,ANADOLU MAH.,22289,18044,17028,10967,5484,311,80.95,94.37,64.41,32.21,1.83,5795,34.03,26.00,5577,32.75,25.02,5608,32.93,25.16,11122,65.32,49.90,11138,65.41,49.97,2.00,1.99,1.99
203,ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,12728,10624,10188,6611,3213,195,83.47,95.90,64.89,31.54,1.91,3408,33.45,26.78,3271,32.11,25.70,3291,32.30,25.86,6708,65.84,52.70,6718,65.94,52.78,2.06,2.05,2.04
204,ARNAVUTKOY,BAKLALI MAH.,701,648,622,366,229,19,92.44,95.99,58.84,36.82,3.05,248,39.87,35.38,234,37.62,33.38,236,37.94,33.67,375,60.29,53.50,376,60.45,53.64,1.60,1.60,1.59
205,ARNAVUTKOY,BALABAN MAH.,416,386,377,115,257,0,92.79,97.67,30.50,68.17,0.00,257,68.17,61.78,257,68.17,61.78,257,68.17,61.78,115,30.50,27.64,115,30.50,27.64,0.45,0.45,0.45
206,ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,6249,5229,4904,3039,1668,102,83.68,93.78,61.97,34.01,2.08,1770,36.09,28.32,1698,34.62,27.17,1708,34.83,27.33,3090,63.01,49.45,3095,63.11,49.53,1.82,1.82,1.81
207,ARNAVUTKOY,BOLLUCA MAH.,4451,3919,3730,2444,1179,58,88.05,95.18,65.52,31.61,1.55,1237,33.16,27.79,1196,32.06,26.87,1202,32.23,27.01,2473,66.30,55.56,2475,66.35,55.61,2.07,2.07,2.06
208,ARNAVUTKOY,BOYALIK MAH.,545,481,454,253,190,6,88.26,94.39,55.73,41.85,1.32,196,43.17,35.96,191,42.07,35.05,192,42.29,35.23,256,56.39,46.97,256,56.39,46.97,1.33,1.34,1.33
209,ARNAVUTKOY,CILINGIR MAH.,813,720,689,430,234,8,88.56,95.69,62.41,33.96,1.16,242,35.12,29.77,236,34.25,29.03,237,34.40,29.15,434,62.99,53.38,434,62.99,53.38,1.84,1.84,1.83
210,ARNAVUTKOY,DELIKLIKAYA MAH.,3587,2919,2765,1248,1448,25,81.38,94.72,45.14,52.37,0.90,1473,53.27,41.06,1455,52.62,40.56,1458,52.73,40.65,1260,45.57,35.13,1261,45.61,35.15,0.86,0.87,0.86
211,ARNAVUTKOY,DURSUNKOY MAH.,363,323,312,187,116,3,88.98,96.59,59.94,37.18,0.96,119,38.14,32.78,116,37.18,31.96,117,37.50,32.23,188,60.26,51.79,188,60.26,51.79,1.61,1.62,1.61
212,ARNAVUTKOY,DURUSU MAH.,581,515,501,211,285,1,88.64,97.28,42.12,56.89,0.20,286,57.09,49.23,285,56.89,49.05,285,56.89,49.05,211,42.12,36.32,211,42.12,36.32,0.74,0.74,0.74
213,ARNAVUTKOY,FATIH MAH.,1699,1462,1406,953,403,29,86.05,96.17,67.78,28.66,2.06,432,30.73,25.43,411,29.23,24.19,414,29.45,24.37,967,68.78,56.92,968,68.85,56.97,2.36,2.35,2.34
214,ARNAVUTKOY,HACIMASLI MAH.,501,480,449,263,173,1,95.81,93.54,58.57,38.53,0.22,174,38.75,34.73,173,38.53,34.53,173,38.53,34.53,263,58.57,52.50,263,58.57,52.50,1.52,1.52,1.52
