nbhd_id,district,neighborhood,registered,voted,valid,akp,chp,mhp,iyip,hdp,sp,cumhur,millet,turnout,valid_p,akp_p,chp_p,mhp_p,iyip_p,hdp_p,sp_p,cumhur_p,millet_p,millet_off,millet_off_p,millet_off_r,millet_hdp_nosp,millet_hdp_nosp_p,millet_hdp_nosp_r,millet_hdp_sp30,millet_hdp_sp30_p,millet_hdp_sp30_r,millet_hdp_sp40,millet_hdp_sp40_p,millet_hdp_sp40_r,cumhur_tot,cumhur_tot_p,cumhur_tot_r,cumhur_sp50,cumhur_sp50_p,cumhur_sp50_r,cumhur_sp55,cumhur_sp55_p,cumhur_sp55_r,mhp_iyip,cum_mil_nosp,cum_mil_low,cum_mil_hi
101,ADALAR,BURGAZADA MAH.,1270,1104,1085,151,518,32,46,308,5,7,8,86.93,98.28,13.92,47.74,2.95,4.24,28.39,0.46,0.65,0.74,577,53.18,45.43,880,81.11,69.29,881,81.20,69.37,882,81.29,69.45,190,17.51,14.96,192,17.70,15.12,192,17.70,15.12,0.70,0.22,0.22,0.22
102,ADALAR,HEYBELIADA MAH.,2955,2627,2580,621,1101,141,246,423,19,10,3,88.90,98.21,24.07,42.67,5.47,9.53,16.40,0.74,0.39,0.12,1369,53.06,46.33,1773,68.72,60.00,1778,68.91,60.17,1780,68.99,60.24,772,29.92,26.13,781,30.27,26.43,782,30.31,26.46,0.57,0.44,0.44,0.44
103,ADALAR,KINALIADA MAH.,1601,1426,1402,326,463,45,54,492,6,7,2,89.07,98.32,23.25,33.02,3.21,3.85,35.09,0.43,0.50,0.14,525,37.45,32.79,1011,72.11,63.15,1012,72.18,63.21,1013,72.25,63.27,378,26.96,23.61,381,27.18,23.80,381,27.18,23.80,0.83,0.37,0.38,0.38
104,ADALAR,MADEN MAH.,3570,3171,3124,754,1279,145,255,625,20,18,13,88.82,98.52,24.14,40.94,4.64,8.16,20.01,0.64,0.58,0.42,1567,50.16,43.89,2172,69.53,60.84,2178,69.72,61.01,2180,69.78,61.06,917,29.35,25.69,927,29.67,25.97,928,29.71,25.99,0.57,0.42,0.43,0.43
105,ADALAR,NIZAM MAH.,2571,2206,2176,477,790,116,174,565,19,12,9,85.80,98.64,21.92,36.31,5.33,8.00,25.97,0.87,0.55,0.41,992,45.59,38.58,1538,70.68,59.82,1543,70.91,60.02,1545,71.00,60.09,605,27.80,23.53,614,28.22,23.88,615,28.26,23.92,0.67,0.39,0.40,0.40
201,ARNAVUTKOY,ADNAN MENDERES MAH.,2666,2354,2295,1207,226,242,118,408,32,36,5,88.30,97.49,52.59,9.85,10.54,5.14,17.78,1.39,1.57,0.22,381,16.60,14.29,757,32.98,28.39,766,33.38,28.73,769,33.51,28.84,1485,64.71,55.70,1501,65.40,56.30,1502,65.45,56.34,2.05,1.96,1.96,1.95
202,ARNAVUTKOY,ANADOLU MAH.,21380,18575,18133,10270,1297,1950,625,3378,280,188,30,86.88,97.62,56.64,7.15,10.75,3.45,18.63,1.54,1.04,0.17,2232,12.31,10.44,5330,29.39,24.93,5414,29.86,25.32,5442,30.01,25.45,12408,68.43,58.04,12548,69.20,58.69,12562,69.28,58.76,3.12,2.33,2.32,2.31
203,ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,12358,10739,10555,5842,1112,1370,768,1071,199,128,14,86.90,98.29,55.35,10.54,12.98,7.28,10.15,1.89,1.21,0.13,2093,19.83,16.94,2965,28.09,23.99,3024,28.65,24.47,3044,28.84,24.63,7340,69.54,59.39,7439,70.48,60.20,7449,70.57,60.28,1.78,2.48,2.46,2.45
204,ARNAVUTKOY,BAKLALI MAH.,674,603,579,309,128,50,49,19,15,5,0,89.47,96.02,53.37,22.11,8.64,8.46,3.28,2.59,0.86,0.00,192,33.16,28.49,196,33.85,29.08,200,34.54,29.67,202,34.89,29.97,364,62.87,54.01,371,64.08,55.04,372,64.25,55.19,1.02,1.86,1.86,1.84
205,ARNAVUTKOY,BALABAN MAH.,357,325,314,89,138,16,52,10,3,3,1,91.04,96.62,28.34,43.95,5.10,16.56,3.18,0.96,0.96,0.32,194,61.78,54.34,201,64.01,56.30,201,64.01,56.30,202,64.33,56.58,108,34.39,30.25,109,34.71,30.53,109,34.71,30.53,0.31,0.54,0.54,0.54
