nbhd_id,district,neighborhood,registered,voted,valid,rte,ince,aksener,selo,karamolla,cumhur_tot_mp,turnout,valid_p,rte_p,ince_p,aksener_p,selo_p,karamolla_p,rte_r,ince_r,aksener_r,selo_r,karamolla_r,millet_off,millet_off_p,millet_off_r,millet_hdp_nosp,millet_hdp_nosp_p,millet_hdp_nosp_r,millet_hdp_sp30,millet_hdp_sp30_p,millet_hdp_sp30_r,millet_hdp_sp40,millet_hdp_sp40_p,millet_hdp_sp40_r,cumhur_sp50,cumhur_sp50_p,cumhur_sp50_r,cumhur_sp55,cumhur_sp55_p,cumhur_sp55_r,cum_mil_nosp,cum_mil_low,cum_mil_hi,rte_change,rte_change_cum,rte_change_reg
101,ADALAR,BURGAZADA MAH.,1270,1103,1085,189,796,23,71,1,190,86.85,98.37,17.42,73.36,2.12,6.54,0.09,14.88,62.68,1.81,5.59,0.08,820,75.58,64.57,890,82.03,70.08,890,82.03,70.08,890,82.03,70.08,189,17.42,14.88,189,17.42,14.88,0.21,0.21,0.21,-1,-0.526,-0.079
102,ADALAR,HEYBELIADA MAH.,2955,2628,2578,739,1531,137,151,11,772,88.93,98.10,28.67,59.39,5.31,5.86,0.43,25.01,51.81,4.64,5.11,0.37,1679,65.13,56.82,1819,70.56,61.56,1822,70.67,61.66,1823,70.71,61.69,744,28.86,25.18,745,28.90,25.21,0.41,0.41,0.41,-33,-4.275,-1.117
103,ADALAR,KINALIADA MAH.,1601,1426,1399,375,892,33,92,2,378,89.07,98.11,26.80,63.76,2.36,6.58,0.14,23.42,55.72,2.06,5.75,0.12,927,66.26,57.90,1017,72.69,63.52,1017,72.69,63.52,1017,72.69,63.52,376,26.88,23.49,376,26.88,23.49,0.37,0.37,0.37,-3,-0.794,-0.187
104,ADALAR,MADEN MAH.,3570,3172,3119,907,1796,120,277,11,917,88.85,98.33,29.08,57.58,3.85,8.88,0.35,25.41,50.31,3.36,7.76,0.31,1927,61.78,53.98,2193,70.31,61.43,2196,70.41,61.51,2197,70.44,61.54,912,29.24,25.55,913,29.27,25.57,0.41,0.42,0.42,-10,-1.091,-0.280
105,ADALAR,NIZAM MAH.,2571,2206,2184,601,1214,88,264,9,605,85.80,99.00,27.52,55.59,4.03,12.09,0.41,23.38,47.22,3.42,10.27,0.35,1311,60.03,50.99,1566,71.70,60.91,1568,71.79,60.99,1569,71.84,61.03,605,27.70,23.53,605,27.70,23.53,0.38,0.39,0.39,-4,-0.661,-0.156
201,ARNAVUTKOY,ADNAN MENDERES MAH.,2666,2354,2282,1491,408,82,271,23,1485,88.30,96.94,65.34,17.88,3.59,11.88,1.01,55.93,15.30,3.08,10.17,0.86,513,22.48,19.24,761,33.35,28.54,767,33.61,28.77,770,33.74,28.88,1502,65.82,56.34,1503,65.86,56.38,1.96,1.96,1.95,6,0.404,0.225
202,ARNAVUTKOY,ANADOLU MAH.,21380,18588,18157,12554,1944,512,2908,216,12408,86.94,97.68,69.14,10.71,2.82,16.02,1.19,58.72,9.09,2.39,13.60,1.01,2672,14.72,12.50,5364,29.54,25.09,5428,29.89,25.39,5450,30.02,25.49,12662,69.74,59.22,12672,69.79,59.27,2.34,2.33,2.33,146,1.177,0.683
203,ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,12358,10749,10553,7285,1751,549,813,149,7340,86.98,98.18,69.03,16.59,5.20,7.70,1.41,58.95,14.17,4.44,6.58,1.21,2449,23.21,19.82,3113,29.50,25.19,3157,29.92,25.55,3172,30.06,25.67,7359,69.73,59.55,7366,69.80,59.61,2.34,2.33,2.32,-55,-0.749,-0.445
204,ARNAVUTKOY,BAKLALI MAH.,674,603,583,365,166,25,17,9,364,89.47,96.68,62.61,28.47,4.29,2.92,1.54,54.15,24.63,3.71,2.52,1.34,200,34.31,29.67,208,35.68,30.86,210,36.02,31.16,211,36.19,31.31,369,63.29,54.75,369,63.29,54.75,1.75,1.76,1.75,1,0.275,0.148
205,ARNAVUTKOY,BALABAN MAH.,357,327,322,107,172,35,7,0,108,91.60,98.47,33.23,53.42,10.87,2.17,0.00,29.97,48.18,9.80,1.96,0.00,207,64.29,57.98,214,66.46,59.94,214,66.46,59.94,214,66.46,59.94,107,33.23,29.97,107,33.23,29.97,0.50,0.50,0.50,-1,-0.926,-0.280
206,ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,6185,5465,5326,3444,663,208,947,59,3389,88.36,97.46,64.66,12.45,3.91,17.78,1.11,55.68,10.72,3.36,15.31,0.95,930,17.46,15.04,1818,34.13,29.39,1835,34.45,29.67,1841,34.57,29.77,3473,65.21,56.15,3476,65.26,56.20,1.89,1.89,1.89,55,1.623,0.889
207,ARNAVUTKOY,BOLLUCA MAH.,4357,3894,3779,2644,389,98,618,24,2627,89.37,97.05,69.97,10.29,2.59,16.35,0.64,60.68,8.93,2.25,14.18,0.55,511,13.52,11.73,1105,29.24,25.36,1112,29.43,25.52,1114,29.48,25.57,2656,70.28,60.96,2657,70.31,60.98,2.39,2.39,2.39,17,0.647,0.390
208,ARNAVUTKOY,BOYALIK MAH.,535,496,483,250,186,37,4,6,252,92.71,97.38,51.76,38.51,7.66,0.83,1.24,46.73,34.77,6.92,0.75,1.12,229,47.41,42.80,227,47.00,42.43,228,47.20,42.62,229,47.41,42.80,253,52.38,47.29,253,52.38,47.29,1.10,1.11,1.10,-2,-0.794,-0.374
209,ARNAVUTKOY,CILINGIR MAH.,805,739,726,474,140,65,37,10,491,91.80,98.24,65.29,19.28,8.95,5.10,1.38,58.88,17.39,8.07,4.60,1.24,215,29.61,26.71,242,33.33,30.06,245,33.75,30.43,246,33.88,30.56,479,65.98,59.50,479,65.98,59.50,1.96,1.96,1.95,-17,-3.462,-2.112
210,ARNAVUTKOY,DELIKLIKAYA MAH.,3174,2674,2612,1181,443,69,899,18,1179,84.25,97.68,45.21,16.96,2.64,34.42,0.69,37.21,13.96,2.17,28.32,0.57,530,20.29,16.70,1411,54.02,44.45,1416,54.21,44.61,1418,54.29,44.68,1190,45.56,37.49,1190,45.56,37.49,0.84,0.84,0.84,2,0.170,0.063
211,ARNAVUTKOY,DURSUNKOY MAH.,362,344,333,206,98,13,12,4,210,95.03,96.80,61.86,29.43,3.90,3.60,1.20,56.91,27.07,3.59,3.31,1.10,115,34.53,31.77,123,36.94,33.98,124,37.24,34.25,124,37.24,34.25,208,62.46,57.46,208,62.46,57.46,1.67,1.68,1.68,-4,-1.905,-1.105
212,ARNAVUTKOY,DURUSU MAH.,577,553,543,230,253,46,10,1,219,95.84,98.19,42.36,46.59,8.47,1.84,0.18,39.86,43.85,7.97,1.73,0.17,300,55.25,51.99,309,56.91,53.55,309,56.91,53.55,309,56.91,53.55,230,42.36,39.86,230,42.36,39.86,0.74,0.74,0.74,11,5.023,1.906
213,ARNAVUTKOY,FATIH MAH.,1696,1499,1460,1036,161,52,189,16,1048,88.38,97.40,70.96,11.03,3.56,12.95,1.10,61.08,9.49,3.07,11.14,0.94,229,15.68,13.50,402,27.53,23.70,406,27.81,23.94,408,27.95,24.06,1044,71.51,61.56,1044,71.51,61.56,2.58,2.57,2.56,-12,-1.145,-0.708
214,ARNAVUTKOY,HACIMASLI MAH.,445,420,408,267,99,31,4,3,269,94.38,97.14,65.44,24.26,7.60,0.98,0.74,60.00,22.25,6.97,0.90,0.67,133,32.60,29.89,134,32.84,30.11,134,32.84,30.11,135,33.09,30.34,268,65.69,60.22,268,65.69,60.22,1.99,2.00,1.99,-2,-0.743,-0.449
215,ARNAVUTKOY,HADIMKOY MAH.,14273,12490,12288,8182,2833,687,438,131,8343,87.51,98.38,66.59,23.06,5.59,3.56,1.07,57.33,19.85,4.81,3.07,0.92,3651,29.71,25.58,3958,32.21,27.73,3997,32.53,28.00,4010,32.63,28.10,8247,67.11,57.78,8254,67.17,57.83,2.07,2.06,2.06,-161,-1.930,-1.128
216,ARNAVUTKOY,HARACCI MAH.,5438,4834,4699,2752,874,229,794,43,2783,88.89,97.21,58.57,18.60,4.87,16.90,0.92,50.61,16.07,4.21,14.60,0.79,1146,24.39,21.07,1897,40.37,34.88,1909,40.63,35.10,1914,40.73,35.20,2773,59.01,50.99,2775,59.06,51.03,1.45,1.45,1.45,-31,-1.114,-0.570
217,ARNAVUTKOY,HASTANE MAH.,5648,4987,4892,2632,1658,355,205,36,2720,88.30,98.10,53.80,33.89,7.26,4.19,0.74,46.60,29.36,6.29,3.63,0.64,2049,41.88,36.28,2218,45.34,39.27,2228,45.54,39.45,2232,45.63,39.52,2650,54.17,46.92,2651,54.19,46.94,1.19,1.19,1.19,-88,-3.235,-1.558
