nbhd_id,district,neighborhood,registered,voted,valid,akp,chp,sp,voted_march,akp_march,chp_march,turnout,valid_p,akp_p,chp_p,sp_p,chp_sp,chp_sp_p,chp_sp_r,chp_sp30,chp_sp30_p,chp_sp30_r,chp_sp40,chp_sp40_p,chp_sp40_r,akp_sp50,akp_sp50_p,akp_sp50_r,akp_sp55,akp_sp55_p,akp_sp55_r,cum_mil_nosp,cum_mil_low,cum_mil_hi,turnout_dif,akp_dif,chp_dif,turnout_rate_ch,akp_rate_ch,chp_rate_ch,akp_rc_turnout
101,ADALAR,BURGAZADA MAH.,1266,1071,1055,177,874,1,981,195,721,84.60,98.51,16.78,82.84,0.09,875,82.94,69.12,874,82.84,69.04,874,82.84,69.04,177,16.78,13.98,177,16.78,13.98,0.20,0.20,0.20,90,-18,153,0.092,-0.09,0.21,-0.0010
102,ADALAR,HEYBELIADA MAH.,3067,2576,2528,760,1758,6,2528,928,1444,83.99,98.14,30.06,69.54,0.24,1764,69.78,57.52,1759,69.58,57.35,1760,69.62,57.39,763,30.18,24.88,763,30.18,24.88,0.43,0.43,0.43,48,-168,314,0.019,-0.18,0.22,-0.0038
103,ADALAR,KINALIADA MAH.,1623,1385,1362,352,1005,3,1290,406,762,85.34,98.34,25.84,73.79,0.22,1008,74.01,62.11,1005,73.79,61.92,1006,73.86,61.98,353,25.92,21.75,353,25.92,21.75,0.35,0.35,0.35,95,-54,243,0.074,-0.13,0.32,-0.0014
104,ADALAR,MADEN MAH.,3628,3022,2971,891,2070,6,2991,1032,1708,83.30,98.31,29.99,69.67,0.20,2076,69.88,57.22,2071,69.71,57.08,2072,69.74,57.11,894,30.09,24.64,894,30.09,24.64,0.43,0.43,0.43,31,-141,362,0.010,-0.14,0.21,-0.0044
105,ADALAR,NIZAM MAH.,3024,2526,2481,797,1671,5,2534,901,1425,83.53,98.22,32.12,67.35,0.20,1676,67.55,55.42,1672,67.39,55.29,1673,67.43,55.32,799,32.20,26.42,799,32.20,26.42,0.48,0.48,0.48,-8,-104,246,-0.003,-0.12,0.17,0.0144
201,ARNAVUTKOY,ADNAN MENDERES MAH.,2650,2249,2195,1304,871,13,2351,1354,770,84.87,97.60,59.41,39.68,0.59,884,40.27,33.36,874,39.82,32.98,876,39.91,33.06,1310,59.68,49.43,1311,59.73,49.47,1.50,1.50,1.50,-102,-50,101,-0.043,-0.04,0.13,0.0004
202,ARNAVUTKOY,ANADOLU MAH.,22289,17736,17250,11066,6014,119,18044,10967,5484,79.57,97.26,64.15,34.86,0.69,6133,35.55,27.52,6049,35.07,27.14,6061,35.14,27.19,11125,64.49,49.91,11131,64.53,49.94,1.84,1.84,1.84,-308,99,530,-0.017,0.01,0.10,0.0000
203,ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,12728,10627,10387,6423,3833,100,10624,6611,3213,83.49,97.74,61.84,36.90,0.96,3933,37.86,30.90,3863,37.19,30.35,3873,37.29,30.43,6473,62.32,50.86,6478,62.37,50.90,1.68,1.68,1.67,3,-188,620,0.000,-0.03,0.19,-0.0095
204,ARNAVUTKOY,BAKLALI MAH.,701,589,582,333,241,8,648,366,229,84.02,98.81,57.22,41.41,1.37,249,42.78,35.52,243,41.75,34.66,244,41.92,34.81,337,57.90,48.07,337,57.90,48.07,1.38,1.39,1.38,-59,-33,12,-0.091,-0.09,0.05,0.0015
205,ARNAVUTKOY,BALABAN MAH.,416,369,359,95,263,0,386,115,257,88.70,97.29,26.46,73.26,0.00,263,73.26,63.22,263,73.26,63.22,263,73.26,63.22,95,26.46,22.84,95,26.46,22.84,0.36,0.36,0.36,-17,-20,6,-0.044,-0.17,0.02,0.0102
206,ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,6249,5132,4967,2937,1964,47,5229,3039,1668,82.13,96.78,59.13,39.54,0.95,2011,40.49,32.18,1978,39.82,31.65,1982,39.90,31.72,2960,59.59,47.37,2962,59.63,47.40,1.50,1.50,1.49,-97,-102,296,-0.019,-0.03,0.18,0.0003
207,ARNAVUTKOY,BOLLUCA MAH.,4451,3722,3626,2376,1217,21,3919,2444,1179,83.62,97.42,65.53,33.56,0.58,1238,34.14,27.81,1223,33.73,27.48,1225,33.78,27.52,2386,65.80,53.61,2387,65.83,53.63,1.95,1.95,1.95,-197,-68,38,-0.050,-0.03,0.03,0.0001
208,ARNAVUTKOY,BOYALIK MAH.,545,477,469,206,258,5,481,253,190,87.52,98.32,43.92,55.01,1.07,263,56.08,48.26,259,55.22,47.52,260,55.44,47.71,208,44.35,38.17,208,44.35,38.17,0.80,0.80,0.80,-4,-47,68,-0.008,-0.19,0.36,0.0464
209,ARNAVUTKOY,CILINGIR MAH.,813,679,660,378,274,6,720,430,234,83.52,97.20,57.27,41.52,0.91,280,42.42,34.44,275,41.67,33.83,276,41.82,33.95,381,57.73,46.86,381,57.73,46.86,1.38,1.39,1.38,-41,-52,40,-0.057,-0.12,0.17,0.0029
210,ARNAVUTKOY,DELIKLIKAYA MAH.,3587,2770,2671,1126,1528,9,2919,1248,1448,77.22,96.43,42.16,57.21,0.34,1537,57.54,42.85,1530,57.28,42.65,1531,57.32,42.68,1130,42.31,31.50,1130,42.31,31.50,0.74,0.74,0.74,-149,-122,80,-0.051,-0.10,0.06,0.0007
211,ARNAVUTKOY,DURSUNKOY MAH.,363,318,307,153,153,0,323,187,116,87.60,96.54,49.84,49.84,0.00,153,49.84,42.15,153,49.84,42.15,153,49.84,42.15,153,49.84,42.15,153,49.84,42.15,1.00,1.00,1.00,-5,-34,37,-0.015,-0.18,0.32,0.0364
212,ARNAVUTKOY,DURUSU MAH.,581,531,521,204,314,3,515,211,285,91.39,98.12,39.16,60.27,0.58,317,60.84,54.56,314,60.27,54.04,315,60.46,54.22,205,39.35,35.28,205,39.35,35.28,0.65,0.65,0.65,16,-7,29,0.031,-0.03,0.10,-0.0021
213,ARNAVUTKOY,FATIH MAH.,1699,1401,1360,912,430,11,1462,953,403,82.46,97.07,67.06,31.62,0.81,441,32.43,25.96,433,31.84,25.49,434,31.91,25.54,917,67.43,53.97,918,67.50,54.03,2.12,2.12,2.12,-61,-41,27,-0.042,-0.04,0.07,0.0007
214,ARNAVUTKOY,HACIMASLI MAH.,501,444,433,238,191,1,480,263,173,88.62,97.52,54.97,44.11,0.23,192,44.34,38.32,191,44.11,38.12,191,44.11,38.12,238,54.97,47.50,238,54.97,47.50,1.25,1.25,1.25,-36,-25,18,-0.075,-0.10,0.10,0.0026
215,ARNAVUTKOY,HADIMKOY MAH.,14866,12369,12055,7201,4757,80,12490,7483,4067,83.20,97.46,59.73,39.46,0.66,4837,40.12,32.54,4781,39.66,32.16,4789,39.73,32.21,7241,60.07,48.71,7245,60.10,48.74,1.51,1.51,1.51,-121,-282,690,-0.010,-0.04,0.17,0.0003
